sample_size,mean_age,n_foci
11,11.58,12
11,7.9,11
11,9.3,6
8,11.6,8
11,8.5,26
23,8.5,9
14,10.32,12
57,8.9,15
5,11.1,9
15,10.7,4
13,10.5,15
12,6.2,24
13,11.2,9
35,11.7,20
26,12.1,18
33,12.3,20
16,12.1,5
15,9.17,4
10,9.8,10
11,7.6,7
26,9.8,4
9,10.2,4
16,10.2,13
23,8.5,28
29,6.6,30
37,9.73,5
67,12.1,22
23,12.8,21
23,12.8,16
30,11.8,6
15,8.67,12
41,11.9,15
19,6.55,10
12,10.8,13
23,9.63,10
23,8.79,15
12,11.3,10
12,11.0,15
26,12.2,8
10,12.5,34
10,7.2,24
10,12.4,47
8,11.08,17
20,10.25,1
20,7.42,1
29,8.0,10
15,9.2,4
38,11.9,18
30,5.5,12
12,11.6,18
